name,type,name_with_type,federal_district,region_code,fias_id,okato,oktmo,tax_office,postal_code,iso_code,timezone,geoname_code,geoname_id,geoname_name,TimeShiftToMoscow,phone_codes
Новгородская,обл,Новгородская обл,Северо-Западный,49,e5a84b81-8ea1-49e3-b3c4-0528651be129,49000000000,,5300,,RU-NGR,UTC+3,RU.52,519324,Novgorod Oblast,0,816,,
Новосибирская,обл,Новосибирская обл,Сибирский,50,1ac46b49-3209-4814-b7bf-a509ea1aecd9,50000000000,,5400,,RU-NVS,UTC+7,RU.53,1496745,Novosibirsk Oblast,4,383,,
Омская,обл,Омская обл,Сибирский,52,05426864-466d-41a3-82c4-11e61cdc98ce,52000000000,,5500,,RU-OMS,UTC+6,RU.54,1496152,Omsk,3,381,,
Оренбургская,обл,Оренбургская обл,Приволжский,53,8bcec9d6-05bc-4e53-b45c-ba0c6f3a5c44,53000000000,,5600,460000,RU-ORE,UTC+5,RU.55,515001,Orenburg Oblast,2,353,,
Орловская,обл,Орловская обл,Центральный,54,5e465691-de23-4c4e-9f46-f35a125b5970,54000000000,,5700,,RU-ORL,UTC+3,RU.56,514801,Orel Oblast,0,486,,
Пензенская,обл,Пензенская обл,Приволжский,56,c99e7924-0428-4107-a302-4fd7c0cca3ff,56000000000,,5800,,RU-PNZ,UTC+3,RU.57,511555,Penza,0,841,,
Пермский,край,Пермский край,Приволжский,57,4f8b1a21-e4bb-422f-9087-d3cbf4bebc14,57000000000,,5900,,RU-PER,UTC+5,RU.90,511180,Perm,2,342,,
Псковская,обл,Псковская обл,Северо-Западный,58,f6e148a1-c9d0-4141-a608-93e3bd95e6c4,58000000000,,6000,,RU-PSK,UTC+3,RU.60,504338,Pskov Oblast,0,811,,
Ростовская,обл,Ростовская обл,Южный,60,f10763dc-63e3-48db-83e1-9c566fe3092b,60000000000,,6100,,RU-ROS,UTC+3,RU.61,501165,Rostov,0,863,,
Рязанская,обл,Рязанская обл,Центральный,61,963073ee-4dfc-48bd-9a70-d2dfc6bd1f31,61000000000,,6200,390000,RU-RYA,UTC+3,RU.62,500059,Ryazan Oblast,0,491,,
Самарская,обл,Самарская обл,Приволжский,36,df3d7359-afa9-4aaa-8ff9-197e73906b1c,36000000000,,6300,,RU-SAM,UTC+4,RU.65,499068,Samara Oblast,1,846| 848,,
Саратовская,обл,Саратовская обл,Приволжский,63,df594e0e-a935-4664-9d26-0bae13f904fe,63000000000,,6400,410000,RU-SAR,UTC+4,RU.67,498671,Saratovskaya Oblast,1,845,,
Сахалинская,обл,Сахалинская обл,Дальневосточный,64,aea6280f-4648-460f-b8be-c2bc18923191,64000000000,,6500,693000,RU-SAK,UTC+11,RU.64,2121529,Sakhalin Oblast,8,424,,
Свердловская,обл,Свердловская обл,Уральский,65,92b30014-4d52-4e2e-892d-928142b924bf,65000000000,,6600,620000,RU-SVE,UTC+5,RU.71,1490542,Sverdlovsk,2,343,,
Смоленская,обл,Смоленская обл,Центральный,66,e8502180-6d08-431b-83ea-c7038f0df905,66000000000,,6700,,RU-SMO,UTC+3,RU.69,491684,Smolensk,0,481,,
Тамбовская,обл,Тамбовская обл,Центральный,68,a9a71961-9363-44ba-91b5-ddf0463aebc2,68000000000,,6800,392000,RU-TAM,UTC+3,RU.72,484638,Tambov,0,475,,
Тверская,обл,Тверская обл,Центральный,28,61723327-1c20-42fe-8dfa-402638d9b396,28000000000,,6900,,RU-TVE,UTC+3,RU.77,480041,Tver Oblast,0,482,,
Томская,обл,Томская обл,Сибирский,69,889b1f3a-98aa-40fc-9d3d-0f41192758ab,69000000000,,7000,,RU-TOM,UTC+7,RU.75,1489421,Tomsk Oblast,4,382,,
Тульская,обл,Тульская обл,Центральный,70,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,70000000000,,7100,,RU-TUL,UTC+3,RU.76,480508,Tula,0,487,,
Тюменская,обл,Тюменская обл,Уральский,71,54049357-326d-4b8f-b224-3c6dc25d6dd3,71000000000,71000000,7200,,RU-TYU,UTC+5,RU.78,1488747,Tyumen Oblast,2,345,,
Ульяновская,обл,Ульяновская обл,Приволжский,73,fee76045-fe22-43a4-ad58-ad99e903bd58,73000000000,,7300,433000,RU-ULY,UTC+4,RU.81,479119,Ulyanovsk,1,842,,
Челябинская,обл,Челябинская обл,Уральск,75,27eb7c10-a234-44da-a59c-8b1f864966de,75000000000,,7400,454000,RU-CHE,UTC+5,RU.13,1508290,Chelyabinsk,2,351,,
Забайкальский,край,Забайкальский край,Дальневосточный,76,b6ba5716-eb48-401b-8443-b197c9578734,76000000000,,7500,,RU-ZAB,UTC+9,RU.93,7779061,Transbaikal Territory,6,302,,
Ярославская,обл,Ярославская обл,Центральный,78,a84b2ef4-db03-474b-b552-6229e801ae9b,78000000000,,7600,,RU-YAR,UTC+3,RU.88,468898,Jaroslavl,0,485,,
Москва,г,г Москва,Центральный,45,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,45000000000,45000000,7700,,RU-MOW,UTC+3,RU.48,524894,Moscow,0,495| 499,,
Санкт-Петербург,г,г Санкт-Петербург,Северо-Западный,40,c2deb16a-0330-4f05-821f-1d09c93331e6,40000000000,40000000,7800,190000,RU-SPE,UTC+3,RU.66,536203,St.-Petersburg,0,812,,
Еврейская,Аобл,Еврейская Аобл,Дальневосточный,99,1b507b09-48c9-434f-bf6f-65066211c73e,99000000000,,7900,,RU-YEV,UTC+10,RU.89,2026639,Jewish Autonomous Oblast,7,426,,
Ненецкий,АО,Ненецкий АО,Северо-Западный,111,89db3198-6803-4106-9463-cbf781eff0b8,11100000000,11800000,2983,166000,RU-NEN,UTC+3,RU.50,522652,Nenets,0,349,,
Ханты-Мансийский Автономный округ - Югра,АО,Ханты-Мансийский Автономный округ - Югра,Уральский,711,d66e5325-3a25-4d29-ba86-4ca351d9704b,71100000000,71800000,8600,,RU-KHM,UTC+5,RU.32,1503773,Khanty-Mansia,2,346,,
Чукотский,АО,Чукотский АО,Дальневосточный,77,f136159b-404a-4f1f-8d8d-d169e1374d5c,77000000000,,8700,,RU-CHU,UTC+12,RU.15,2126099,Chukotka,9,427,,
Ямало-Ненецкий,АО,Ямало-Ненецкий АО,Уральский,7114,826fa834-3ee8-404f-bdbc-13a5221cfb6e,71140000000,71900000,8900,629000,RU-YAN,UTC+5,RU.87,1486462,Yamalo-Nenets,2,349,,
Крым,Респ,Респ Крым,Южный,35,bd8e6511-e4b9-4841-90de-6bbc231a789e,35000000000,35000000,9100,,UA-43,UTC+3,UA.11,703883,Crimea,0,365,,
Севастополь,г,г Севастополь,Южный,67,6fdecb78-893a-4e3f-a5ba-aa062459463b,67000000000,67000000,9200,,UA-40,UTC+3,UA.20,694422,Sevastopol City,0,869,,
Байконур,г,г Байконур,,55,63ed1a35-4be6-4564-a1ec-0c51f7383314,55000000000,,9900,468320,KZ-BAY,UTC+6,KZ.08,1538316,Baikonur,3,336,,
